,Date,Date_local,wind speed at 100m (m/s),surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday,gas_price,carbon_tax_rate,demand
0,2015-01-01 00:30:00+00:00,2014-12-31 19:30:00-05:00,17.5,98220,81.2,-10.01,2300,19,0.258819045,-0.965925826,1,0.992981096,0.118273171,12,1,-2.45E-16,0,5.099605272,0,7991.806709
1,2015-01-01 01:30:00+00:00,2014-12-31 20:30:00-05:00,17.66,98200,77.96,-9.84,2300,20,0.5,-0.866025404,1,0.992981096,0.118273171,12,1,-2.45E-16,0,5.099605272,0,6978.253895
2,2015-01-01 02:30:00+00:00,2014-12-31 21:30:00-05:00,18.15,98120,85.93,-9.53,2300,21,0.707106781,-0.707106781,1,0.992981096,0.118273171,12,1,-2.45E-16,0,5.099605272,0,6540.952885
3,2015-01-01 03:30:00+00:00,2014-12-31 22:30:00-05:00,19.26,98010,85.46,-8.91,2300,22,0.866025404,-0.5,1,0.992981096,0.118273171,12,1,-2.45E-16,0,5.099605272,0,6457.603612
4,2015-01-01 04:30:00+00:00,2014-12-31 23:30:00-05:00,20.05,97880,85.47,-8.76,0,23,0.965925826,-0.258819045,1,0.992981096,0.118273171,12,1,-2.45E-16,0,5.099605272,0,6288.410935
5,2015-01-01 05:30:00+00:00,2015-01-01 00:30:00-05:00,19.34,97790,88.3,-8.12,2300,0,1,0,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6924.309368
6,2015-01-01 06:30:00+00:00,2015-01-01 01:30:00-05:00,17.97,97770,88.35,-7.88,2300,1,0.965925826,0.258819045,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6254.859876
7,2015-01-01 07:30:00+00:00,2015-01-01 02:30:00-05:00,16.57,97720,89.15,-7.56,2300,2,0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6827.546277
8,2015-01-01 08:30:00+00:00,2015-01-01 03:30:00-05:00,15.69,97750,87.9,-7.64,2300,3,0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6434.30569
9,2015-01-01 09:30:00+00:00,2015-01-01 04:30:00-05:00,15.19,97680,86.37,-8,2300,4,0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6629.72286
10,2015-01-01 10:30:00+00:00,2015-01-01 05:30:00-05:00,16.72,97690,84.5,-8.17,2300,5,0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6543.78565
11,2015-01-01 11:30:00+00:00,2015-01-01 06:30:00-05:00,17.63,97680,83.97,-7.98,2300,6,6.12E-17,1,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6814.722594
12,2015-01-01 12:30:00+00:00,2015-01-01 07:30:00-05:00,16.74,97680,85.14,-7.69,2300,7,-0.258819045,0.965925826,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6869.195141
13,2015-01-01 13:30:00+00:00,2015-01-01 08:30:00-05:00,15.94,97600,85.86,-7.29,2300,8,-0.5,0.866025404,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6269.798143
14,2015-01-01 14:30:00+00:00,2015-01-01 09:30:00-05:00,14.73,97600,86.84,-6.56,2300,9,-0.707106781,0.707106781,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6969.707496
15,2015-01-01 15:30:00+00:00,2015-01-01 10:30:00-05:00,15.25,97530,85.93,-6.12,2300,10,-0.866025404,0.5,1,0.992981096,0.118273171,1,0.866025404,0.5,0,5.099605272,0,6867.683321
